               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.021675,           0.0082455,           0.0007855,             0.81313,             0.78339,             0.85408,             0.46181,            0.036005,            0.010094,             0.01084,            0.000958,            0.000958,            0.000958
                 139,            0.021797,           0.0078516,            0.001123,             0.77754,             0.82347,             0.85647,             0.45974,            0.036342,            0.010093,            0.011245,            0.000892,            0.000892,            0.000892
                 140,            0.022179,           0.0082265,          0.00073289,             0.76639,             0.81119,             0.84781,             0.45205,            0.036121,           0.0099105,            0.011938,            0.000826,            0.000826,            0.000826
                 141,            0.022146,           0.0075749,          0.00085648,             0.80187,              0.7848,             0.85218,             0.45412,            0.035815,           0.0097463,             0.01274,             0.00076,             0.00076,             0.00076
                 142,            0.022279,           0.0078334,          0.00079464,             0.86563,             0.73577,             0.85404,             0.46154,            0.035737,           0.0098444,            0.013298,            0.000694,            0.000694,            0.000694
                 143,            0.021835,           0.0077026,          0.00070225,             0.78733,              0.8076,             0.85579,             0.45957,            0.035978,           0.0099456,            0.012672,            0.000628,            0.000628,            0.000628
                 144,            0.021071,           0.0077113,          0.00072149,             0.78969,             0.82307,             0.86376,             0.46292,            0.036219,           0.0099754,            0.011714,            0.000562,            0.000562,            0.000562
                 145,            0.021315,           0.0078876,          0.00081513,             0.86411,             0.77706,             0.86708,             0.45999,            0.036406,            0.010059,           0.0095715,            0.000496,            0.000496,            0.000496
                 146,            0.021007,           0.0076524,          0.00076323,             0.87435,             0.77453,             0.86819,             0.46595,            0.035903,            0.010088,           0.0086466,             0.00043,             0.00043,             0.00043
                 147,            0.021934,            0.007944,          0.00091563,             0.88683,             0.77685,             0.87322,             0.47401,            0.036068,            0.010102,            0.007338,            0.000364,            0.000364,            0.000364
                 148,             0.02114,           0.0076954,          0.00080893,             0.88474,              0.7764,             0.87358,             0.46866,            0.036043,            0.010093,           0.0070915,            0.000298,            0.000298,            0.000298
                 149,            0.021309,           0.0078978,          0.00083659,             0.87117,             0.77706,             0.86967,             0.46805,            0.035958,            0.010069,           0.0072943,            0.000232,            0.000232,            0.000232
